"","SMILES","half_life_formatted"
"353","CCOc1nc(NC)nc(NC(=O)[N-]S(=O)(=O)c2ccccc2C(=O)OC)n1","> 1 year"
"354","CCS(=O)(=O)c1cccnc1S(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1","7.5 days"
"355","CCS(=O)(=O)c1nc2ccccn2c1S(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1","160 days"
"356","CCS(=O)CCSP(=O)(OC)OC","38 days"
"357","CCSC(=O)Cl","2.8e-12 day"
"358","CCSC(=O)[NH+](CC(C)C)CC(C)C","> 1 year"
"359","CCSC(C)CC1CC(=O)C(C(CC)=NOCC=CCl)=C([O-])C1","300 days"
"360","CCSCc1ccccc1OC(=O)NC","3.9 days"
"361","CCSc1nc([NH2+]C(C)C)nc([NH2+]C(C)C)n1","> 1 year"
"362","CC[NH+](N=O)C(N)=O","0.04 day"
"363","CC[NH+]1CC[NH+](C(=O)NC(C(=O)NC2C(=O)[NH+]3C2SC(C)(C)C3C(=O)[O-])c2ccccc2)C(=O)C1=O","6.2 days"
"364","CC[NH+]1OCC(NC(=O)c2ccc(C3=NOC(c4cc(Cl)c(F)c(Cl)c4)(C(F)(F)F)C3)cc2C)C1=O","260 days"
"365","CC[NH2+]C(=O)NC(=O)C(C#N)=NOC","1.4 days"
"366","CC[Si](CC)CC","13 days"
"367","CC[Si](ON=C(C)C)(ON=C(C)C)ON=C(C)C","0.031 day"
"368","CCc1cccc(C)c1[NH+](C(=O)CCl)C(C)COC","> 1 year"
"369","CCc1cnc(C2=[NH+]C(C)(C(C)C)C(=O)N2)c(C(=O)[O-])c1","> 1 year"
"370","CCl","> 1 year"
"371","CCn1c(O)c(C(N)=O)c(C)c(N=Nc2cc(Nc3nc(Cl)nc(Nc4ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc4)n3)ccc2S(=O)(=O)[O-])c1=O","10 days"
"372","CF","> 1 year"
"373","CI","110 days"
"374","CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1","74 days"
"375","CN(C)c1ccc(C(=O)Cl)cc1","8e-11 day"
"376","CN(C)c1ccc(C(=O)F)cc1","0.0023 day"
"377","CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C","> 1 year"
"378","CN1COC[NH+]=C1N[N+](=O)[O-]","> 1 year"
"379","CN=C(O)C=C(C)OP(=O)(OC)OC","110 days"
"380","CN=C=O","0.0062 day"
"381","CN=C=S","43 days"
"382","CNC(=O)ON=C(SC)C(=O)[NH+](C)C","7.9 days"
"383","CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1","11 days"
"384","CNC(=O)Oc1cc(C)c(SC)c(C)c1","26 days"
"385","CNC(=O)Oc1cccc2c1OC(C)(C)C2","24 days"
"386","CNC(=O)Oc1cccc2c1OC(C)(C)O2","2.7 days"
"387","CNC(=O)Oc1cccc2ccccc12","9.8 days"
"388","CNC(C)=O","> 1 year"
"389","CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl","> 1 year"
"390","COC(=O)C(=Cc1ccc(OC)cc1)C(=O)OC","31 days"
"391","COC(=O)C(=O)c1ccccc1","0.067 day"
"392","COC(=O)C(C)(C)c1ccc(Br)cc1","55 days"
"393","COC(=O)C(C)Oc1ccc(O)cc1","27 days"
"394","COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1","32 days"
"395","COC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1","12 days"
"396","COC(=O)C(F)(F)F","0.0017 day"
"397","COC(=O)C1C(C)C=CCC1(C)C","180 days"
"398","COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CC[NH+]3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC","> 1 year"
"399","COC(=O)C1CC(=O)C(C(=O)OC)CC1=O","2.8 days"
"400","COC(=O)C=CC(=O)OC","82 days"
"401","COC(=O)CC(NC(=O)C(NC(=O)OC(C)C)C(C)C)c1ccc(Cl)cc1","55 days"
"402","COC(=O)CCS","20 days"
"403","COC(=O)COc1ccc(Cl)cc1Cl","7 days"
"404","COC(=O)COc1nc(F)c(Cl)c(N)c1Cl","4.8 days"
"405","COC(=O)Cl","0.01 day"
"406","COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC","36 days"
"407","COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1","0.61 day"
"408","COC(=O)Nc1nc2ccccc2[nH]1","> 1 year"
"409","COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1","16 days"
"410","COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)[O-])c1","69 days"
"411","COC(=O)c1cc(Cl)ccc1Cl","> 1 year"
"412","COC(=O)c1ccc(C#N)cc1[N+](=O)[O-]","35 days"
"413","COC(=O)c1ccc(C(F)(F)F)nc1S(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1","7 days"
"414","COC(=O)c1ccc2cc(C(=O)OC)ccc2c1","100 days"
"415","COC(=O)c1cccc(C)c1S(=O)(=O)[N-]C(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1","32 days"
"416","COC(=O)c1ccccc1C(=O)c1ccccc1","71 days"
"417","COC(=O)c1ccccc1CS(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1","> 1 year"
"418","COC(=O)c1ccccc1S(=O)(=O)[N-]C(=O)Nc1nc(OC(F)F)cc(OC(F)F)n1","> 1 year"
"419","COC(=O)c1ccccc1S(=O)(=O)[N-]C(=O)[NH+](C)c1nc(C)nc(OC)n1","14 days"
"420","COC(=O)c1csc(C)c1S(=O)(=O)[N-]C(=O)n1nc(OC)n(C)c1=O","110 days"
"421","COC(=O)c1sccc1S(=O)(=O)[N-]C(=O)Nc1nc(C)nc(OC)n1","170 days"
"422","COC(C)(C)CC(C)(C#N)N=NC(C)(C#N)CC(C)(C)OC","7.2 days"
"423","COC(C)=O","> 1 year"
"424","COC1(NC(=O)Cc2cccs2)C(=O)[NH+]2C(C(=O)[O-])=C(COC(N)=O)CSC21","9.3 days"
"425","COC1(OC)CCC2=C(CCC3C2CCC2(C)C(=O)CCC32)C1","1.1 days"
"426","COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC([NH+](C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C([NH+](C)C)C1O","> 1 year"
"427","COC1OCC2OC(=O)CC21","320 days"
"428","COC=C(C(=O)OC)c1ccccc1CCl","3.2 days"
"429","COC=O","1.2 days"
"430","COCC(=O)Nc1c(I)c(C(=O)Cl)c(I)c(C(=O)NCC(COC(C)=O)OC(C)=O)c1I","0.0016 day"
"431","COCC(=O)[NH+](c1c(C)cccc1C)C(C)C(=O)OC","> 1 year"
"432","COCC1=C(C(=O)[O-])[NH+]2C(=O)C([NH3+])C2SC1","88 days"
"433","COCCCCC(=O)c1ccc(C(F)(F)F)cc1","38 days"
"434","COCCOCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C","50 days"
"435","COCCOCCO[Si](CCCOCC1CO1)(OCCOCCOC)OCCOCCOC","0.5 day"
"436","COCCOc1ccccc1S(=O)(=O)[N-]C(=O)Nc1nc(OC)nc(OC)n1","> 1 year"
"437","COCCc1ccccc1","38 days"
"438","COCCl","0.0014 day"
"439","CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(COC(N)=O)CSC12)c1ccco1","8 days"
"440","CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1","64 days"
"441","CON=C(C(=O)OC)c1ccccc1CCl","6.7 days"
"442","CON=C(C(=O)OC)c1ccccc1COc1ccccc1C","34 days"
"443","COOP(=O)(OOC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl","58 days"
"444","COP(=O)(OC)C(O)C(Cl)(Cl)Cl","1.4 days"
"445","COP(=O)(OC)OC(Br)C(Cl)(Cl)Br","0.64 day"
"446","COP(=O)(OC)OC(C)=CC(=O)[NH+](C)C","72 days"
"447","COP(=O)(OC)OC=C(Cl)Cl","0.99 day"
"448","COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl","33 days"
"449","COP(=S)(OC)Oc1ccc(S(=O)(=O)[NH+](C)C)cc1","120 days"
"450","COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1","> 1 year"
"451","COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1","140 days"
"452","COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1","41 days"
"453","COP(=S)(OC)SC[NH+]1C(=O)c2ccccc2C1=O","0.4 day"
"454","COP(N)(=O)SC","28 days"
"455","COS(=O)(=O)OC","0.00083 day"
"456","CO[NH+](C)C(=O)Nc1ccc(Cl)c(Cl)c1","> 1 year"
"457","CO[NH+](C)C(=O)Nc1ccc(Cl)cc1","> 1 year"
"458","CO[NH2+]C(C)Cc1c(Cl)cc(Cl)cc1Cl","160 days"
"459","CO[SiH](CC1CCCCC1)OC","0.79 day"
"460","CO[Si](C)(OC)OC","0.092 day"
"461","CO[Si](CCC#N)(OC)OC","0.18 day"
"462","CO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC","0.34 day"
"463","CO[Si](CCCCCC[Si](OC)(OC)OC)(OC)OC","0.22 day"
"464","CO[Si](CCCCl)(OC)OC","0.13 day"
"465","CO[Si](CCCN=C=O)(OC)OC","0.0022 day"
"466","CO[Si](CCCNC(=O)OCCCCCCOC(=O)NCCC[Si](OC)(OC)OC)(OC)OC","0.21 day"
"467","CO[Si](CCCOCC1CO1)(OC)OC","1.4 days"
"468","CO[Si](CCC[NH2+]C1CCCCC1)(OC)OC","0.0028 day"
"469","CO[Si](CCCn1c(=O)n(CCC[Si](OC)(OC)OC)c(=O)n(CCC[Si](OC)(OC)OC)c1=O)(OC)OC","0.077 day"
"470","CO[Si](OC)(C1CCCC1)C1CCCC1","0.79 day"
"471","COc1c(Cl)ccc(Cl)c1C(=O)[O-]","> 1 year"
"472","COc1cc(Cl)c(OC)cc1Cl","> 1 year"
"473","COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1","> 1 year"
"474","COc1cc(OC)nc(NC(=O)N=S(=O)(O)c2ncccc2OCC(F)(F)F)n1","20 days"
"475","COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)C2C(Cl)=NC3=CC=CC[NH+]32)n1","> 1 year"
"476","COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)Nc2ccccc2C(=O)[NH+](C)C)n1","26 days"
"477","COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)[NH+](C)S(C)(=O)=O)n1","> 1 year"
"478","COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1","130 days"
"479","COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)c2cc(NC=O)ccc2C(=O)[NH+](C)C)n1","130 days"
"480","COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)c2ncccc2C(=O)[NH+](C)C)n1","> 1 year"
"481","COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)c2ncccc2C(F)(F)F)n1","12 days"
"482","COc1cc(OC)nc(Sc2cccc(Cl)c2C(=O)[O-])n1","> 1 year"
"483","COc1cc(S(=O)(=O)CCOS(=O)(=O)[O-])c(C)cc1N=NC1C(=O)N(c2ccc(S(=O)(=O)[O-])cc2)N=C1C","3.9 days"
"484","COc1cc2c(cc1OC)C13CC[NH+]4CC5=CCOC6CC(=O)[NH+]2C1C6C5CC43","> 1 year"
"485","COc1ccc(-c2ccccc2)cc1N[N-]C(=O)OC(C)C","0.8 day"
"486","COc1ccc(C(=O)F)cc1","0.028 day"
"487","COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1","> 1 year"
"488","COc1ccc(COC(=O)C(F)(F)F)cc1","0.00044 day"
"489","COc1ccc(N=Nc2cc(N=Nc3ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc3S(=O)(=O)[O-])c(N)c(N=Nc3ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc3S(=O)(=O)[O-])c2N)c(S(=O)(=O)[O-])c1","8.5 days"
"490","COc1ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc1NN=C1C(=O)c2c(cc(S(=O)(=O)[O-])c(N=Nc3ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc3)c2N)C=C1S(=O)(=O)[O-]","1.9 days"
"491","COc1ccc(S(=O)(=O)Cl)cc1","0.0012 day"
"492","COc1ccc2cc(C(C)C(=O)[O-])ccc2c1","> 1 year"
"493","COc1cccc(C(=O)Cl)c1","1.3e-05 day"
"494","COc1cccc(C(=O)F)c1","0.0024 day"
"495","COc1cccc(C2(O)CCCCC2C[NH+](C)C)c1","> 1 year"
"496","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC([NH3+])C(O)C(C)O1","300 days"
"497","COc1ccnc(C(=O)NC2COC(=O)C(Cc3ccccc3)C(OC(=O)C(C)C)C(C)OC2=O)c1O","0.22 day"
"498","COc1nc(C)nc(NC(=O)[N-]S(=O)(=O)c2ccccc2CCC(F)(F)F)n1","> 1 year"
"499","COc1nc(C)nc(NC(=O)[N-]S(=O)(=O)c2ccccc2Cl)n1","> 1 year"
"500","COc1nc([NH2+]C(C)C)nc([NH2+]C(C)C)n1","> 1 year"
"501","CP(=O)(Oc1ccccc1)Oc1ccccc1","150 days"
"502","CP1(=O)OCC2(CO1)COP(C)(=O)OC2","2.6 days"
"503","CS(=O)(=O)c1ccc(C(=O)C2=C(Sc3ccccc3)C3CCC(C3)C2=O)c(Cl)c1","0.64 day"
"504","CS(=O)(=O)c1ccc(C(O)C(CF)NC(=O)C(Cl)Cl)cc1","> 1 year"
"505","CSC(=O)Cl","1.1e-11 day"
"506","CSC(C)=NOC(=O)[NH+](C)S[NH+](C)C(=O)ON=C(C)SC","31 days"
"507","CSCCC=O","75 days"
"508","CSc1nc([NH2+]C(C)C)nc([NH2+]C(C)C)n1","> 1 year"
"509","CSc1nnc(C(C)(C)C)c(=O)n1N","> 1 year"
"510","C[N+](C)(C)c1ccccc1","38 days"
"511","C[N+]1(CC(=O)[N-]N=Cc2ccccc2O)CCOCC1","28 days"
"512","C[NH+](C)C(=O)NCC1(C)CC(NC(=O)[NH+](C)C)CC(C)(C)C1","33 days"
"513","C[NH+](C)C(=O)Nc1ccc(Cl)c(Cl)c1","> 1 year"
"514","C[NH+](C)C(=O)Nc1cccc(C(F)(F)F)c1","> 1 year"
"515","C[NH+](C)C(=S)SC(=S)[NH+](C)C","180 days"
"516","C[NH+](C)C(=S)SSC(=S)[NH+](C)C","4.2 days"
"517","C[NH+](C)C(=S)[S-]","1.7 days"
"518","C[NH+](C)C=CC(=O)c1cccnc1","85 days"
"519","C[NH+](C)P(=O)(OP(=O)([NH+](C)C)[NH+](C)C)[NH+](C)C","> 1 year"
"520","C[NH+](N=O)C([NH3+])=N[N+](=O)[O-]","0.79 day"
"521","C[NH+]1COC[NH+](Cc2cnc(Cl)s2)C1=N[N+](=O)[O-]","> 1 year"
"522","C[NH2+]C(=S)[S-]","7.5 days"
"523","C[NH2+]C1C(O)C([NH2+]C)C2OC3(O)C(=O)CC(C)OC3OC2C1O","92 days"
"524","C[Si](C)(C)O[Si](C)(C)C","14 days"
"525","C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C","22 days"
"526","C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C","22 days"
"527","C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C","22 days"
"528","C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C","22 days"
"529","C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C","15 days"
"530","C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C","30 days"
"531","C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)c1ccccc1","30 days"
"532","C[Si](C)(Cl)Cl","0.092 day"
"533","C[Si](C)(O[Si](C)(c1ccccc1)c1ccccc1)O[Si](C)(c1ccccc1)c1ccccc1","14 days"
"534","C[Si](C)O[Si](C)C","0.0078 day"
"535","C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","0.34 day"
"536","C[Si](Cl)(Cl)CC[Si](C)(Cl)Cl","0.22 day"
"537","C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1","> 1 year"
"538","C[Si](O[Si](C)(c1ccccc1)c1ccccc1)(O[Si](C)(c1ccccc1)c1ccccc1)c1ccccc1","14 days"
"539","C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1","2.9 days"
"540","C[Si]1(CCC(F)(F)F)O[Si](C)(CCC(F)(F)F)O[Si](C)(CCC(F)(F)F)O1","6 days"
"541","C[Si]1O[Si](C)O[Si](C)O[Si](C)O1","2.9 days"
"542","Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl","> 1 year"
"543","Cc1cc(-c2ccc(N=C=O)c(C)c2)ccc1N=C=O","0.15 day"
"544","Cc1cc(=O)[nH]c(=S)[nH]1","> 1 year"
"545","Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1","0.0023 day"
"546","Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1","> 1 year"
"547","Cc1cc(Cl)ccc1OCCCC(=O)[O-]","> 1 year"
"548","Cc1cc(Cl)ccc1S(=O)(=O)Cl","0.0033 day"
"549","Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1","> 1 year"
"550","Cc1ccc(C(=O)F)cc1","0.011 day"
"551","Cc1ccc(C(=O)OOC(=O)c2ccc(C)cc2)cc1","0.38 day"
"552","Cc1ccc(C)c2c1C(=O)OC2=O","0.0081 day"
"553","Cc1ccc(C2OC(COC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)C2OC(=O)C(C)(C)C)cc1Cc1ccc(-c2ccc(F)cc2)s1","7.2 days"
"554","Cc1ccc(CBr)cc1","0.003 day"
"555","Cc1ccc(CCl)cc1","0.018 day"
"556","Cc1ccc(COC(=O)C(F)(F)F)cc1","0.00073 day"
"557","Cc1ccc(N2C(=O)C=CC2=O)cc1N1C(=O)C=CC1=O","0.092 day"
"558","Cc1ccc(N=Nc2c(S(=O)(=O)[O-])cc3c(S(=O)(=O)[O-])c(Nc4nc(F)nc(N(C)CCS(=O)(=O)CCOS(=O)(=O)[O-])n4)ccc3c2O)c(S(=O)(=O)[O-])c1","3.4 days"
"559","Cc1ccc(NC(=O)[NH+](C)C)cc1NC(=O)[NH+](C)C","33 days"
"560","Cc1ccc(NC(=O)c2ccc(C[NH+]3CC[NH+](C)CC3)cc2)cc1[NH+]=C(N)N","> 1 year"
"561","Cc1ccc(S(=O)(=O)Cl)cc1","0.0019 day"
"562","Cc1ccc(S(=O)(=O)NCl)cc1","210 days"
"563","Cc1ccc(S(=O)(=O)NN)cc1","0.93 day"
"564","Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)Cl","0.0036 day"
"565","Cc1ccc([NH+]=CN(C)C=[NH+]c2ccc(C)cc2C)c(C)c1","0.92 day"
"566","Cc1ccc2nc3sc(=O)sc3nc2c1","2 days"
"567","Cc1cccc(C(=O)[O-])c1S(=O)(=O)[N-]C(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1","32 days"
"568","Cc1ccccc1OCC1CO1","0.39 day"
"569","Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1","> 1 year"
"570","Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1","> 1 year"
"571","Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C","> 1 year"
"572","ClC(Cl)(Cl)C(Cl)(Cl)Cl","> 1 year"
"573","ClC(Cl)(Cl)Cl","> 1 year"
"574","ClC(Cl)(Cl)c1ccccc1","0.00022 day"
"575","ClC(Cl)=C(Cl)Cl","270 days"
"576","ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl","0.69 day"
"577","ClC(Cl)C(Cl)(Cl)Cl","3.7 days"
"578","ClC(Cl)Cl","> 1 year"
"579","ClC(Cl)c1ccccc1","0.0042 day"
"580","ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl","> 1 year"
"581","ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl","4.5 days"
"582","ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl","> 1 year"
"583","ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl","> 1 year"
"584","ClC1=CC(Cl)C(Cl)C(Cl)C1Cl","> 1 year"
"585","ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl","210 days"
"586","ClC=C(Cl)Cl","330 days"
"587","ClC=CCCl","10 days"
"588","ClCC(Br)CBr","> 1 year"
"589","ClCC(Cl)CCl","> 1 year"
"590","ClCC=CCCl","3.5 days"
"591","ClCCCCl","> 1 year"
"592","ClCCCl","> 1 year"
"593","ClCCN(CCCl)c1ccc2ccccc2c1","9 days"
"594","ClCCOCCCl","> 1 year"
"595","ClCCl","> 1 year"
"596","ClCc1ccc(Cl)cc1","1.2 days"
"597","ClCc1ccc(Cl)nc1","16 days"
"598","ClCc1ccccc1","0.6 day"
"599","Cl[Si](Cl)(Cl)Cl","0.18 day"
"600","Cl[Si](Cl)(Cl)[Si](Cl)(Cl)[Si](Cl)(Cl)Cl","0.18 day"
"601","Cl[Si](Cl)Cl","0.18 day"
"602","Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl","> 1 year"
"603","Clc1cc(Cl)c(Cl)c(Cl)c1Cl","> 1 year"
"604","Clc1cc(Cl)c(Cl)cc1Cl","> 1 year"
"605","Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1","0.69 day"
"606","Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1","> 1 year"
"607","Clc1ccc(C2OC2c2ccccc2)cc1","4.5 days"
"608","Clc1ccc(Cl)c(Cl)c1","> 1 year"
"609","Clc1ccc(Cl)cc1","> 1 year"
"610","Clc1ccc2ccccc2c1","> 1 year"
"611","Clc1cccc(C(Cl)(Cl)Cl)n1","7.2 days"
"612","Clc1cccc(Cl)c1","> 1 year"
"613","Clc1cccc(Cl)c1Cl","> 1 year"
"614","Clc1ccccc1","> 1 year"
"615","Clc1ccccc1Cl","> 1 year"
"616","Clc1nc(Cl)nc(Cl)n1","0.0024 day"
"617","Clc1nc(Cl)nc(Nc2ccccc2Cl)n1","19 days"
"618","Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1","> 1 year"
"619","Cn1nc(C(F)F)c(C(=O)F)c1F","0.00071 day"
"620","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl","0.34 day"
"621","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[SiH2]C(Cl)Cl","0.34 day"
"622","FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)F","0.96 day"
"623","FC1CC(F)(F)C(F)(F)C1(F)F","100 days"
"624","Fc1c(Cl)ncnc1Cl","> 1 year"
"625","Fc1ccccc1CCl","1.1 days"
"626","N#CC(Br)(Br)Br","0.28 day"
"627","N#CC(Cl)(Br)Br","0.49 day"
"628","N#CC(Cl)(Cl)Br","0.37 day"
"629","N#CC(Cl)(Cl)Cl","0.03 day"
"630","N#CC(Cl)Cl","25 days"
"631","N#CC(O)c1cccc(Oc2ccccc2)c1","0.75 day"
"632","N#CCC#N","20 days"
"633","N#CCCCl","22 days"
"634","N#CC[NH+](CC#N)CCC[NH+](CC#N)CC#N","> 1 year"
"635","N#C[NH3+]","> 1 year"
"636","N#Cc1ccc(C(F)(F)F)cc1[N+](=O)[O-]","> 1 year"
"637","N#Cc1ccc(O)c(O)c1","130 days"
"638","N#Cc1ccc(S(=O)(=O)Cl)cc1","0.0038 day"
"639","N#Cc1nn(Cc2ccccc2F)c2ncc(F)cc12","> 1 year"
"640","N=[N+]=CC(=O)OCC([NH3+])C(=O)[O-]","99 days"
"641","NC(=O)C(Cl)(Cl)Cl","84 days"
"642","NC(=O)C(Cl)Cl","270 days"
"643","NC(=O)CCl","> 1 year"
"644","NC(=O)CF","> 1 year"
"645","NC(=O)N1c2ccccc2C=Cc2ccccc21","> 1 year"
"646","NC(=O)N=NC(N)=O","1.8 days"
"647","NC(=S)NC(N)=S","4.1 days"
"648","NC(=S)Nc1cccc2ccccc12","360 days"
"649","NC(=S)Nc1ccccc1Cl","> 1 year"
"650","NC(=[NH2+])c1nn(Cc2ccccc2F)c2ncc(F)cc12","> 1 year"
"651","NC(N)=[NH+]S(=O)(=O)c1ccc(N)cc1","> 1 year"
"652","NC1=[NH+]C(=[NH2+])c2ccccc21","2.2 days"
"653","NNS(=O)(=O)c1ccc(Oc2ccc(S(=O)(=O)NN)cc2)cc1","0.33 day"
"654","N[N-]C(=O)[N-]N","> 1 year"
"655","Nc1c(Cl)c(Cl)nc(C(=O)[O-])c1Cl","> 1 year"
"656","Nc1c(N=Nc2cc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c4)n3)ccc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])c(N=Nc3ccc4c(S(=O)(=O)[O-])cccc4c3S(=O)(=O)[O-])c(O)c12","13 days"
"657","Nc1c(N=Nc2ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc2)cc(S(=O)(=O)[O-])c(N)c1N=Nc1ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc1","3.5 days"
"658","Nc1cc(Cl)cc(C(=O)[O-])c1Cl","> 1 year"
"659","Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl","> 1 year"
"660","Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1","> 1 year"
"661","Nc1ccc(S(=O)(=O)Nc2nccs2)cc1","> 1 year"
"662","Nc1nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc(N)c1N","42 days"
"663","O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F","0.0017 day"
"664","O=C(CCCCC(=O)OCC1CCC2OC2C1)OCC1CCC2OC2C1","2.2 days"
"665","O=C(CCS)OCCOC(=O)CCS","8.6 days"
"666","O=C(CCl)C1(Cl)CC1","11 days"
"667","O=C(Cl)C(=O)Cl","1.7e-08 day"
"668","O=C(Cl)C(Cl)(Cl)Cl","1.4e-08 day"
"669","O=C(Cl)C(Cl)Cl","1.5e-08 day"
"670","O=C(Cl)CCC(=O)Cl","7.7e-07 day"
"671","O=C(Cl)CCl","8.4e-07 day"
"672","O=C(Cl)Cl","6.4e-07 day"
"673","O=C(Cl)Oc1ccccc1","6e-04 day"
"674","O=C(Cl)Sc1ccccc1","7.1e-11 day"
"675","O=C(Cl)c1ccc(C(=O)Cl)cc1","0.00026 day"
"676","O=C(Cl)c1ccc([N+](=O)[O-])cc1","0.00013 day"
