"","SMILES","half_life_formatted"
"84","CC(=O)Nc1ccc2c(c1)C=C(S(=O)(=O)[O-])C(=NNc1ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc1)C2=O","4 days"
"85","CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2","> 1 year"
"86","CC(=O)Nc1cccc(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c1","9.8 days"
"87","CC(=O)OC(C)(C)C","330 days"
"88","CC(=O)OC(C)=O","0.0031 day"
"89","CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CC(CCl)C4(C)C3CCC21C","88 days"
"90","CC(=O)OC1CC(C)CCC1C(C)C","5.5 days"
"91","CC(=O)OC1CCCCC1C(C)(C)C","1.8 days"
"92","CC(=O)OCC(CNC(=O)c1c(I)c(N)c(I)c(C(=O)[O-])c1I)OC(C)=O","140 days"
"93","CC(=O)OCC(F)F","28 days"
"94","CC(=O)OCC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)Cc3cccs3)C2SC1","5.3 days"
"95","CC(=O)OCC1OC(n2cc(C)c(=O)[nH]c2=O)CC1OC(C)=O","27 days"
"96","CC(=O)ON=C(C(=O)Sc1nc2ccccc2s1)c1csc(N)n1","0.75 day"
"97","CC(=O)OO","2 days"
"98","CC(=O)O[Si](C)(OC(C)=O)OC(C)=O","0.092 day"
"99","CC(=O)Oc1cccc(OC(C)=O)c1","2.1 days"
"100","CC(=O)[NH+]1CCCCCC1=O","11 days"
"101","CC(=O)c1cccc2ccccc12","38 days"
"102","CC(Br)CBr","> 1 year"
"103","CC(C)(Br)Br","0.18 day"
"104","CC(C)(C#N)N=NC(C)(C)C#N","300 days"
"105","CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1","120 days"
"106","CC(C)(C)Cl","0.00026 day"
"107","CC(C)(C)F","29 days"
"108","CC(C)(C)OC(=O)C(F)(F)F","0.0057 day"
"109","CC(C)(C)OC(=O)[N-]N(Cc1ccc(-c2ccccn2)cc1)CC(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C","13 days"
"110","CC(C)(C)OC=O","3.8 days"
"111","CC(C)(C)OOC(=O)C(C)(C)C","6 days"
"112","CC(C)(C)OOC1(OOC(C)(C)C)CCCCC1","2.7 days"
"113","CC(C)(C)[NH2+]Sc1nc2ccccc2s1","0.075 day"
"114","CC(C)(C)c1cc(C(C)(CC(=O)OCCOC(=O)CC(C)(c2ccc(O)c(C(C)(C)C)c2)c2ccc(O)c(C(C)(C)C)c2)c2ccc(O)c(C(C)(C)C)c2)ccc1O","150 days"
"115","CC(C)(C)c1ccc(O)c(O)c1","5.9 days"
"116","CC(C)(C)c1ccc(OCC2CO2)cc1","17 days"
"117","CC(C)(C1CCC(OCC2CO2)CC1)C1CCC(OCC2CO2)CC1","14 days"
"118","CC(C)(C[NH3+])C(N)=O","> 1 year"
"119","CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1","0.015 day"
"120","CC(C)(O)C#N","0.0064 day"
"121","CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1","29 days"
"122","CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1","3.6 days"
"123","CC(C)=CCCC(C)=CCCC(C)CC=O","2.4 days"
"124","CC(C)=NOCCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1","32 days"
"125","CC(C)Br","1.8 days"
"126","CC(C)C(=O)C(=Cc1ccccc1)C(=O)Nc1ccccc1","160 days"
"127","CC(C)C(=O)OOC(C)(C)C","120 days"
"128","CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1","> 1 year"
"129","CC(C)C([NH2+]c1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1","23 days"
"130","CC(C)C1(C)[NH+]=C(c2nc3ccccc3cc2C(=O)[O-])NC1=O","> 1 year"
"131","CC(C)C1(C)[NH+]=C(c2ncccc2C(=O)[O-])NC1=O","> 1 year"
"132","CC(C)C=NCC1(C)CC(N=CC(C)C)CC(C)(C)C1","0.16 day"
"133","CC(C)CC(C)(C#N)N=NC(C)(C#N)CC(C)C","33 days"
